src_bytes,service,dst_bytes,flag,diff_srv_rate,same_srv_rate,class
491,ftp_data,0,SF,0,1,normal
146,other,0,SF,0.15,0.08,normal
0,private,0,S0,0.07,0.05,neptune
232,http,8153,SF,0,1,normal
199,http,420,SF,0,1,normal
0,private,0,REJ,0.06,0.16,neptune
0,private,0,S0,0.06,0.05,neptune
0,private,0,S0,0.06,0.14,neptune
0,remote_job,0,S0,0.05,0.09,neptune
0,private,0,S0,0.06,0.06,neptune
0,private,0,REJ,0.06,0.06,neptune
0,private,0,S0,0.06,0.02,neptune
287,http,2251,SF,0,1,normal
334,ftp_data,0,SF,0,1,warezclient
0,name,0,S0,0.06,0,neptune
0,netbios_ns,0,S0,0.05,0.17,neptune
300,http,13788,SF,0,1,normal
18,eco_i,0,SF,0,1,ipsweep
233,http,616,SF,0,1,normal
343,http,1178,SF,0,1,normal
0,mtp,0,S0,0.05,0.1,neptune
0,private,0,S0,0.05,0.06,neptune
253,http,11905,SF,0,1,normal
147,other,105,SF,0,1,normal
0,mtp,0,S0,0.06,0.01,neptune
437,telnet,14421,SF,0,1,normal
0,private,0,S0,0.06,0.03,neptune
227,http,6588,SF,0,1,normal
215,http,10499,SF,0,1,normal
241,http,1400,SF,0,1,normal
8,eco_i,0,SF,0,1,ipsweep
0,finger,0,S0,0.07,0.28,neptune
303,http,555,SF,0,1,normal
0,private,0,REJ,1,0.5,portsweep
45,domain_u,45,SF,0,1,normal
105,private,147,SF,0,1,normal
43,domain_u,43,SF,0,1,normal
0,supdup,0,S0,0.06,0.08,neptune
324,http,2302,SF,0,1,normal
0,uucp_path,0,S0,0.07,0.06,neptune
0,ftp_data,0,S0,0.08,0.22,neptune
0,Z39_50,0,S0,0.06,0.05,neptune
1591,smtp,372,SF,0,1,normal
146,other,105,SF,0.5,0.5,normal
290,http,3006,SF,0,1,normal
0,csnet_ns,0,S0,0.08,0.1,neptune
28,private,0,SF,0,1,teardrop
255,http,861,SF,0,1,normal
334,ftp_data,0,SF,0,1,warezclient
0,ftp_data,0,S0,0.05,0.07,neptune
302,http,498,SF,0,1,normal
0,private,0,REJ,0.1,0.07,neptune
28,private,0,SF,0,1,teardrop
220,http,1398,SF,0,1,normal
43,domain_u,69,SF,0,1,normal
44,domain_u,133,SF,0,1,normal
8,eco_i,0,SF,0,1,nmap
0,uucp,0,S0,0.06,0.07,neptune
0,finger,0,S0,0.08,0.5,neptune
43,domain_u,43,SF,0,1,normal
641,ftp_data,0,SF,0,1,normal
0,private,0,REJ,0.06,0.02,neptune
0,private,0,REJ,1,0.01,satan
310,http,2794,SF,0,1,normal
0,private,0,REJ,0.08,0.16,neptune
696,smtp,333,SF,0,1,normal
0,netbios_dgm,0,RSTR,0,1,portsweep
0,http,0,S0,0.08,0.37,neptune
0,netbios_dgm,0,REJ,0.06,0.06,neptune
0,supdup,0,S0,0.06,0.12,neptune
221,http,2878,SF,0,1,normal
0,private,0,S0,0.06,0.11,neptune
181,urp_i,0,SF,0.67,0.67,normal
42,domain_u,42,SF,0,1,normal
0,private,0,S0,0.06,0.04,neptune
12,ftp_data,0,SF,0,1,normal
0,auth,0,S0,0.06,0.03,neptune
210,http,2790,SF,0,1,normal
321,http,5683,SF,0,1,normal
0,private,0,REJ,0.06,0.03,neptune
329,http,3982,SF,0,1,normal
0,uucp_path,0,REJ,0.07,0.05,neptune
0,domain,0,S0,0.05,0.09,neptune
8,eco_i,0,SF,0,1,ipsweep
320,http,379,SF,0,1,normal
0,private,0,S0,0.05,0.03,neptune
225,http,3762,SF,0,1,normal
0,ftp,0,S0,0.06,0.05,neptune
0,private,0,REJ,0.05,0.11,neptune
146,other,105,SF,0.67,0.67,normal
247,http,1416,SF,0,1,normal
353,http,1483,SF,0,1,normal
44,domain_u,44,SF,0.02,0.99,normal
0,private,0,REJ,0.05,0.12,neptune
0,csnet_ns,0,S0,0.06,0.02,neptune
3065,smtp,331,SF,0,1,normal
102,other,102,SF,0,1,normal
259,http,750,SF,0,1,normal
147,other,105,SF,0,1,normal
0,private,0,S0,0.05,0.12,neptune
0,http,354,SF,0,1,normal
309,http,306,SF,0,1,normal
0,http,0,REJ,0,1,normal
278,http,7227,SF,0,1,normal
28,private,0,SF,0,1,teardrop
313,http,761,SF,0,1,normal
219,http,1212,SF,0,1,normal
245,http,9165,SF,0,1,normal
328,http,2243,SF,0,1,normal
0,http,0,REJ,0,1,normal
251,http,301,SF,0,1,normal
2089,smtp,335,SF,1,0.5,normal
0,http,0,REJ,0,1,normal
237,http,511,SF,0,1,normal
324,http,431,SF,0,1,normal
1,private,0,RSTR,0,1,portsweep
0,Z39_50,0,REJ,0.05,0.15,neptune
105,private,145,SF,0.5,0.25,normal
218,http,974,SF,0,1,normal
325,http,2649,SF,0,1,normal
0,uucp_path,0,REJ,0.07,0.08,neptune
0,bgp,0,REJ,0.07,0.07,neptune
0,csnet_ns,0,S0,0.07,0.03,neptune
328,http,275,SF,0,1,normal
0,bgp,0,S0,0.05,0.02,neptune
9,finger,138,SF,0,1,normal
46,domain_u,46,SF,0,1,normal
1079,smtp,334,SF,0,1,normal
45,domain_u,139,SF,0,1,normal
273,ftp,903,SF,0,1,normal
0,private,0,S0,0.06,0.11,neptune
0,ldap,0,REJ,0.06,0.04,neptune
237,http,138,SF,0,1,normal
225,http,1357,SF,0,1,normal
0,private,0,S0,0.06,0.06,neptune
0,supdup,0,S0,0.06,0.08,neptune
147,other,0,SF,0.67,0.33,normal
262,http,1011,SF,0,1,normal
1032,ecr_i,0,SF,0,1,smurf
0,private,0,S0,0.06,0.12,neptune
261,http,8412,SF,0,1,normal
0,bgp,0,REJ,0.08,0.06,neptune
0,netbios_dgm,0,REJ,0.07,0.01,neptune
294,http,1719,SF,0,1,normal
221,http,981,SF,0,1,normal
284,http,10352,SF,0,1,normal
0,gopher,0,SH,0,1,nmap
309,http,16096,SF,0,1,normal
334,ftp_data,0,SF,0,1,warezclient
0,telnet,0,S0,0.31,0.31,neptune
0,private,0,S0,0.07,0.01,neptune
214,http,283,SF,0,1,normal
0,vmnet,0,S0,0.05,0.04,neptune
0,systat,0,S0,0.05,0.06,neptune
0,http_443,0,S0,0.06,0.1,neptune
46,domain_u,78,SF,0.01,1,normal
748,ftp_data,0,SF,0,1,normal
0,efs,0,S0,0.06,0.19,neptune
8,eco_i,0,SF,0,1,ipsweep
0,whois,0,S0,0.07,0.01,neptune
329,http,8437,SF,0,1,normal
9,ftp_data,0,SF,0,1,normal
46,domain_u,128,SF,0,1,normal
1766,ftp_data,0,SF,0,1,normal
0,remote_job,0,S0,0.06,0.02,neptune
1,other,0,RSTR,0,1,portsweep
8,finger,135,SF,0,1,normal
266,http,529,SF,0,1,normal
245,ftp_data,0,SF,0.67,0.67,normal
295,http,465,SF,0,1,normal
0,gopher,0,S0,0.11,0.27,neptune
228,http,6834,SF,0,1,normal
1032,ecr_i,0,SF,0,1,smurf
0,imap4,0,REJ,0.06,0.06,neptune
0,private,0,S0,0.07,0.16,neptune
0,whois,0,S0,0.05,0.01,neptune
0,http,0,REJ,0,1,normal
0,other,0,REJ,0.95,0,satan
1,other,0,SF,0.09,0.27,satan
0,iso_tsap,0,S0,0.06,0.03,neptune
30,ecr_i,0,SF,0,1,normal
2078,smtp,333,SF,0,1,normal
19,ftp_data,0,SF,0,1,normal
661,smtp,329,SF,0,1,normal
28,private,0,SF,0.06,0.97,teardrop
0,ftp_data,0,S0,0.14,0.07,neptune
0,private,0,S0,0.07,0.17,neptune
0,private,0,S0,0.06,0.05,neptune
1075,smtp,364,SF,0,1,normal
223,http,656,SF,0,1,normal
350,ftp,1185,SF,0,1,warezclient
233,http,2470,SF,0,1,normal
0,private,0,S0,0.07,0.04,neptune
0,echo,0,S0,0.06,0.08,neptune
201,http,1938,SF,0,1,normal
271,http,4781,SF,0,1,normal
14416,ftp_data,0,SF,0,1,normal
227,http,11564,SF,0,1,normal
